PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,TT,OID,GR,OAB,OABL,OTO,OT,GN
7332884,NLM,MEDLINE,19820527,20181113,0008-4409 (Print) 0008-4409 (Linking),125,11,1981 Dec 1,Bacteremia caused by viridans streptococci in 71 children.,1246-9,"A review of the hospital records of 71 patients from whose blood viridans streptococci were isolated showed that in 13 cases the patient's illness was definitely related to the bacteremia: 4 patients had endocarditis, 3 had pneumonia, 2 had peritonitis and 1 each had meningitis, a scalp wound infection, sinusitis and otitis media. The bacteremia may have contributed to the two deaths among these 13 patients. In 45 cases the viridans streptococci may have contributed to the patient's illness: 15 patients had an infection of the lower respiratory tract and 7 an infection of the upper respiratory tract, 8 were neonates with suspected septicemia, 3 had soft tissue infections, 3 had leukemia and sepsis, and 9 had miscellaneous infections; the bacteremia was unrelated to the two deaths in this group. In another 13 cases the viridans streptococci could not be related to the patient's illness. The species most frequently isolated were Streptococcus mitis, S. sanguis II and S. MG-intermedius. The outcome of the bacteremia was generally good, even among the 11 patients not treated with antibiotics. When viridans streptococci are cultured from a single blood sample, further samples of blood and, if feasible, specimens from the associated focus of infection should be obtained for culture; further blood cultures are especially important in cases of suspected endocarditis.","['Gaudreau, C', 'Delage, G', 'Rousseau, D', 'Cantor, E D']","['Gaudreau C', 'Delage G', 'Rousseau D', 'Cantor ED']",['eng'],['Journal Article'],Canada,Can Med Assoc J,Canadian Medical Association journal,0414110,,IM,"['Child, Preschool', 'Endocarditis/microbiology', 'Humans', 'Infant, Newborn', 'Leukemia/complications', 'Meningitis/microbiology', 'Peritonitis/microbiology', 'Pneumonia/microbiology', 'Sepsis/etiology/*microbiology', 'Streptococcal Infections/*microbiology', 'Streptococcus/isolation & purification']",1981/12/01 00:00,1981/12/01 00:01,['1981/12/01 00:00'],"['1981/12/01 00:00 [pubmed]', '1981/12/01 00:01 [medline]', '1981/12/01 00:00 [entrez]']",,ppublish,Can Med Assoc J. 1981 Dec 1;125(11):1246-9.,PMC1862755,,,,,,,,
7332796,NLM,MEDLINE,19820521,20061115,0077-4715 (Print) 0077-4715 (Linking),99,,1981,[Antitumor effect of compounds synthesized in the Division of Synthetic Chemistry (V) (author's transl)].,111-3,,"['Miyahara, M', 'Kamiya, S', 'Nakadate, M', 'Sueyoshi, S', 'Tanno, M', 'Miyahara, M']","['Miyahara M', 'Kamiya S', 'Nakadate M', 'Sueyoshi S', 'Tanno M', 'Miyahara M']",['jpn'],"['English Abstract', 'Journal Article']",Japan,Eisei Shikenjo Hokoku,Eisei Shikenjo hokoku. Bulletin of National Institute of Hygienic Sciences,0421152,"['0 (Antineoplastic Agents)', '0 (Nitroso Compounds)', '0 (Nitrosourea Compounds)', '0 (Oxazoles)', '0 (Thiadiazoles)', '0 (Thiazoles)']",IM,"['Animals', 'Antineoplastic Agents/*therapeutic use', 'Drug Evaluation, Preclinical', 'Leukemia L1210/drug therapy', 'Mice', 'Nitroso Compounds/chemical synthesis/therapeutic use', 'Nitrosourea Compounds/chemical synthesis/therapeutic use', 'Oxazoles/chemical synthesis/*therapeutic use', 'Rats', 'Thiadiazoles/*therapeutic use', 'Thiazoles/*therapeutic use']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",,ppublish,Eisei Shikenjo Hokoku. 1981;99:111-3.,,,,,,,,,
7332496,NLM,MEDLINE,19820412,20041117,0004-1556 (Print) 0004-1556 (Linking),38,12,1981 Dec,Contemporary management of leukemia: cytogenetic diagnosis and monitoring of acute leukemia and preleukemia.,906-11,,"['Sandberg, A A', 'Hecht, F', 'McCaw, B K']","['Sandberg AA', 'Hecht F', 'McCaw BK']",['eng'],['Journal Article'],United States,Ariz Med,Arizona medicine,0372465,,IM,"['Acute Disease', 'Chromosome Aberrations/diagnosis/*genetics', 'Chromosome Disorders', 'Humans', 'Leukemia/diagnosis/*genetics', 'Preleukemia/diagnosis/*genetics']",1981/12/01 00:00,1981/12/01 00:01,['1981/12/01 00:00'],"['1981/12/01 00:00 [pubmed]', '1981/12/01 00:01 [medline]', '1981/12/01 00:00 [entrez]']",,ppublish,Ariz Med. 1981 Dec;38(12):906-11.,,,,,,,,,
7332446,NLM,MEDLINE,19820420,20061115,0004-069X (Print) 0004-069X (Linking),29,4,1981,Platelet-derived growth factor (PDGF) enhances the growth of Moloney sarcoma virus-induced tumors in mice.,431-7,"The intramuscular (i.m.) administration of bovine or human platelet derived growth factor (PDGF) had a marked potentiating effect on the growth of Moloney sarcoma virus (MSV)-induced tumors in Balb/c mice. PDGF had the tumor-promoting-activity when administered i.m. on the side of inoculation of MSV two days after the virus, and subsequently every second day for 2-3 weeks. The extent of MSV-induced tumor promoting activity of PDGF was age and sex-related. In view of the recently described antagonism in action between growth factors and interferons it is suggested that both families of hormones play an important role in controlling the neoplastic proliferation.","['Inglot, A D', 'Inglot, O']","['Inglot AD', 'Inglot O']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Arch Immunol Ther Exp (Warsz),Archivum immunologiae et therapiae experimentalis,0114365,"['0 (Growth Substances)', '0 (Mitogens)', '0 (Peptides)', '0 (Platelet-Derived Growth Factor)']",IM,"['Aging', 'Animals', 'Cattle', 'Cell Division', 'Female', 'Growth Substances/*pharmacology', 'Male', 'Mice', 'Mice, Inbred BALB C', 'Mitogens/*pharmacology', 'Moloney murine leukemia virus', 'Neoplasm Regression, Spontaneous', 'Peptides/*pharmacology', 'Platelet-Derived Growth Factor', 'Sarcoma, Experimental/*pathology', 'Sex Factors']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",,ppublish,Arch Immunol Ther Exp (Warsz). 1981;29(4):431-7.,,,,,,,,,
7332296,NLM,MEDLINE,19820420,20200825,0304-4602 (Print) 0304-4602 (Linking),10,3,1981 Jul,Chemotherapy of malignant lymphoma.,281-7,"Between January 1976 and December 1980, 16 patients with advanced Hodgkin's Disease and 70 patients with Stage III and Stage IV Non-Hodgkin's lymphoma were treated with combination chemotherapy, 12 patients with Hodgkin's disease were treated with nitrogen mustard, vinblastine, procarbazine (MVPP). 4 patients received MVPP. 4 patients received MOPP (O = vincristine). 69% of the patients showed disease remission. 25% of the patients achieved complete remission. 58 patients with advanced non-Hodgkin's lymphoma were treated with the quadruple drug combination of cyclophosphamide, vincristine, procarbazine and prednisolone (COPP). 21% of the patients with non-Hodgkin's lymphoma developed a frankly leukaemic transformation which complicated management. Response rate to COPP therapy was 44% for all patients. 43% of the patients showed no response to treatment. Of the patients who showed disease remission with COPP, 52% achieved a complete remission. Percentage survival at 2 years for all patients was 14% compared with 47% for patients with complete remission. Using the Rappaport classification for histological subtype in non-Hodgkin's lymphoma, 61% of diffused poorly differentiated lymphoma showed disease remission compared to 47% remission in diffused histiocytic lymphoma. Only 33% of lympho-blastic lymphoma responded to COPP. Patients with leukaemic transformation did not respond to COPP. 9 of 15 patients with a leukaemic phase showed partial remission with combination chemotherapy. Majority of patients on combination chemotherapy showed evidence of drugs toxicity both in the Hodgkin's group and the non-Hodgkin's group. Major drug toxicities were myelosuppression and neurotoxicity.","['Ong, Y W', 'Goh, C N']","['Ong YW', 'Goh CN']",['eng'],['Journal Article'],Singapore,Ann Acad Med Singap,"Annals of the Academy of Medicine, Singapore",7503289,['0 (Antineoplastic Agents)'],IM,"['Adolescent', 'Adult', 'Aged', 'Antineoplastic Agents/*administration & dosage/adverse effects', 'Cell Transformation, Neoplastic/pathology', 'Child', 'Drug Administration Schedule', 'Drug Therapy, Combination', 'Female', 'Hodgkin Disease/*drug therapy', 'Humans', 'Leukemia/pathology', 'Lymphoma/*drug therapy/pathology', 'Male', 'Middle Aged', 'Prognosis']",1981/07/01 00:00,1981/07/01 00:01,['1981/07/01 00:00'],"['1981/07/01 00:00 [pubmed]', '1981/07/01 00:01 [medline]', '1981/07/01 00:00 [entrez]']",,ppublish,Ann Acad Med Singap. 1981 Jul;10(3):281-7.,,,,,,,,,
7332024,NLM,MEDLINE,19820412,20081121,0002-9335 (Print) 0002-9335 (Linking),47,12,1981 Dec,Comparative veterinary hematology: a bird's eye view.,985-90,"A comparative look at veterinary hematology in the class Mammalia is presented to acquaint the medical technologist with a new dimension in clinical pathology. Aspects of clinical hematology, such as erythrocyte and leukocyte morphologies, dynamics, and diseases, are discussed.","['Jensen, E C']",['Jensen EC'],['eng'],"['Comparative Study', 'Journal Article']",United States,Am J Med Technol,The American journal of medical technology,0370505,,IM,"['Anemia/veterinary', 'Animals', 'Blood Cells/*cytology/pathology', 'Erythrocyte Aging', 'Erythrocytes/cytology/pathology', 'Hematologic Tests', 'Jaundice/veterinary', 'Leukemia/veterinary', 'Leukocytes/cytology/pathology', 'Mammals/*blood', 'Spleen/physiology', 'Stress, Physiological/veterinary']",1981/12/01 00:00,1981/12/01 00:01,['1981/12/01 00:00'],"['1981/12/01 00:00 [pubmed]', '1981/12/01 00:01 [medline]', '1981/12/01 00:00 [entrez]']",,ppublish,Am J Med Technol. 1981 Dec;47(12):985-90.,,,,,,,,,
7331997,NLM,MEDLINE,19820422,20190821,0361-8609 (Print) 0361-8609 (Linking),11,4,1981 Dec,Coexistence of paroxysmal nocturnal hemoglobinuria and chronic lymphocytic leukemia.,439-41,,"['Omura, G A']",['Omura GA'],['eng'],"['Case Reports', 'Journal Article']",United States,Am J Hematol,American journal of hematology,7610369,,IM,"['Hemoglobinuria, Paroxysmal/classification/*complications', 'Humans', 'Leukemia, Lymphoid/*complications', 'Male', 'Middle Aged', 'Myeloproliferative Disorders/classification']",1981/12/01 00:00,1981/12/01 00:01,['1981/12/01 00:00'],"['1981/12/01 00:00 [pubmed]', '1981/12/01 00:01 [medline]', '1981/12/01 00:00 [entrez]']",['10.1002/ajh.2830110413 [doi]'],ppublish,Am J Hematol. 1981 Dec;11(4):439-41. doi: 10.1002/ajh.2830110413.,,,,,,,,,
7331995,NLM,MEDLINE,19820422,20190821,0361-8609 (Print) 0361-8609 (Linking),11,4,1981 Dec,Methods of processing marrow samples may affect the frequency of detectable aneuploid cells.,409-15,"Karyotypes were analyzed from 14 patients with various myeloproliferative disorders who had marrow samples processed directly and cultured in various ways. Eleven patients had acute nonlymphocytic leukemia (ANLL) (seven patients) or a dysmyelopoietic syndrome (four patients). All of these patients were known to have an abnormal karyotype, and in each case, two samples of a bone marrow aspirate were available: one processed directly and another cultured for 24 hr. Five of the 11 patients had essentially the same proportion of abnormal cells in the direct and 24-hr samples; in five other patients, the percentage of aneuploid cells in the sample cultured for 24 hr was higher than that in the direct preparation. A higher percentage of aneuploid cells was observed in the direct preparation in only one case. In three other cases of ANLL, a marrow aspirate was cultured with methotrexate in addition to samples processed directly and after 24-hr culture; only two of these had an abnormal clone in any sample. The results of karyotype analysis differed in these two patients. The proportion of aneuploid cells was substantially higher in the methotrexate culture than in the 24-hr culture in one patient; in the other patient, the 24-hr culture contained aneuploid cells, whereas the methotrexate culture showed none. Three of the 13 aneuploid patients would have been incorrectly classified as being karyotypically normal on the basis of the initial analysis of the direct preparation, since only a single abnormal cell was detected in each case. The karyotypic pattern in untreated patients with ANLL has prognostic significance; therefore, the method of processing marrow aspirates may substantially influence the degree of correlation between the karyotype and survival reported by different laboratories.","['Waghray, M', 'Eques, C', 'Rowley, J D', 'Martin, P', 'Testa, J R']","['Waghray M', 'Eques C', 'Rowley JD', 'Martin P', 'Testa JR']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Am J Hematol,American journal of hematology,7610369,,IM,"['*Aneuploidy', 'Bone Marrow/*ultrastructure', 'Cells, Cultured', 'Chromosomes/*ultrastructure', 'Humans', 'Karyotyping', 'Myeloproliferative Disorders/*genetics', 'Specimen Handling/*methods', 'Time Factors']",1981/12/01 00:00,1981/12/01 00:01,['1981/12/01 00:00'],"['1981/12/01 00:00 [pubmed]', '1981/12/01 00:01 [medline]', '1981/12/01 00:00 [entrez]']",['10.1002/ajh.2830110410 [doi]'],ppublish,Am J Hematol. 1981 Dec;11(4):409-15. doi: 10.1002/ajh.2830110410.,,,,"['CA 16910/CA/NCI NIH HHS/United States', 'CA 25568/CA/NCI NIH HHS/United States']",,,,,
7331956,NLM,MEDLINE,19820422,20190622,0065-2598 (Print) 0065-2598 (Linking),139,,1981,The sulfur-containing amino acid pathway in normal and malignant cell growth.,127-41,,"['Baskin, S I', 'Wakayama, K', 'Knight, T', 'Jepson, J H', 'Besa, E C']","['Baskin SI', 'Wakayama K', 'Knight T', 'Jepson JH', 'Besa EC']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Adv Exp Med Biol,Advances in experimental medicine and biology,0121103,"['0 (Amino Acids, Sulfur)', '1EQV5MLY3D (Taurine)']",IM,"['Amino Acids, Sulfur/*metabolism', 'Animals', 'Cell Division', 'Female', 'Leukemia L1210/*metabolism', 'Lymphocytes/*metabolism', 'Mice', 'Mice, Inbred DBA', 'Taurine/*metabolism']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",['10.1007/978-1-4757-0402-0_9 [doi]'],ppublish,Adv Exp Med Biol. 1981;139:127-41. doi: 10.1007/978-1-4757-0402-0_9.,,,,['CA-22170/CA/NCI NIH HHS/United States'],,,,,
7331814,NLM,MEDLINE,19820420,20061115,0513-4870 (Print) 0513-4870 (Linking),16,9,1981 Sep,[The effect of harringtonine and its allied alkaloids on the incorporation of labelled amino acids into proteins of transplantable leukemias L-615 and P-388 cells].,661-6,,"['Xu, Y T', 'Du, C Z', 'Zhang, F R', 'Ji, X J']","['Xu YT', 'Du CZ', 'Zhang FR', 'Ji XJ']",['chi'],"['English Abstract', 'Journal Article']",China,Yao Xue Xue Bao,Yao xue xue bao = Acta pharmaceutica Sinica,21710340R,"['0 (Alkaloids)', '0 (Amino Acids)', '0 (Harringtonines)', '0 (Neoplasm Proteins)']",IM,"['Alkaloids/*pharmacology', 'Amino Acids/*metabolism', 'Animals', 'Harringtonines/*pharmacology', 'Leukemia P388/metabolism', 'Leukemia, Experimental/drug therapy/*metabolism', 'Mice', 'Neoplasm Proteins/*biosynthesis', 'Neoplasm Transplantation']",1981/09/01 00:00,1981/09/01 00:01,['1981/09/01 00:00'],"['1981/09/01 00:00 [pubmed]', '1981/09/01 00:01 [medline]', '1981/09/01 00:00 [entrez]']",,ppublish,Yao Xue Xue Bao. 1981 Sep;16(9):661-6.,,,,,,,,,
7331727,NLM,MEDLINE,19820420,20110728,0001-5806 (Print) 0001-5806 (Linking),44,6,1981 Nov,[Intracellular transcobalamins in various cultured cells established from hematological malignancies (author's transl)].,1147-52,,"['Nagoshi, H', 'Minato, K', 'Shimoyama, M']","['Nagoshi H', 'Minato K', 'Shimoyama M']",['jpn'],"['English Abstract', 'Journal Article']",Japan,Nihon Ketsueki Gakkai Zasshi,Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society,2984803R,"['0 (Blood Proteins)', '0 (Transcobalamins)']",IM,"['Blood Proteins/*analysis', 'Cell Line', 'Cells, Cultured', 'Humans', 'Leukemia/blood', 'Lymphocytes/*analysis', 'Transcobalamins/*analysis']",1981/11/01 00:00,1981/11/01 00:01,['1981/11/01 00:00'],"['1981/11/01 00:00 [pubmed]', '1981/11/01 00:01 [medline]', '1981/11/01 00:00 [entrez]']",,ppublish,Nihon Ketsueki Gakkai Zasshi. 1981 Nov;44(6):1147-52.,,,,,,,,,
