PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,GS,MH,PMC,EDAT,MHDA,CRDT,PHST,PST,SO,SI,GR,AID,RF,TT,RIN,EIN,CIN,OID,OAB,OABL,OTO,OT,GN,CON
1203866,NLM,MEDLINE,19760401,20190619,0008-543X (Print) 0008-543X (Linking),36,6,1975 Dec,Hodgkin's disease in childhood.,2109-20,"A retrospective study of 116 children with Hodgkin's disease diagnosed in the period 1935-1970 was undertaken to assess the prognostic role of histopathologic classiciation and clinical extent of the disease. The ages of the 80 boys and 36 girls ranged from 2.5 years to 15.0 years (mean, 10.0 years). The histopathologic diagnosis by lymph node biopsy revealed lymphocyte predominance in 22, nodular sclerosis in 67, mixed cellularity in 24, and lymphocyte depletion in 3. Within the subgroup of nodular sclerosis, 47 biopsies had classic well-developed collagenous bands, whereas 20 were in the cellular phase (10 without collagenous bands and 10 with minimal collagen). The clinical extent of disease was determined. There were 33 patients with Stage I disease, 38 with Stage IIA, 12 with Stage IIB, 24 with Stage III, and 9 with Stage IV. Survival correlated with histopathologic type and clinical stage, but not with age or sex. Survival was not dependent on the degree of collagenization in nodular sclerosis. There were 28 patients who survived for more than 10 years. Four of these 29 subsequently died owing to acute myelomonocytic leukemia, carcinoma of the breast, sepsis, and progression of Hodgkin's disease, respectively. Neoplasms developed in two other long-term survivors (thyroid carcinoma in one, and multiple basal cell carcinomas in the other).","['Norris, D G', 'Burgert, E O Jr', 'Cooper, H A', 'Harrison, E G Jr']","['Norris DG', 'Burgert EO Jr', 'Cooper HA', 'Harrison EG Jr']",,['eng'],['Journal Article'],United States,Cancer,Cancer,0374236,,IM,,"['Adolescent', 'Age Factors', 'Child', 'Child, Preschool', 'Female', 'Hodgkin Disease/mortality/*pathology/therapy', 'Humans', 'Lymphocytes/pathology', 'Male', 'Prognosis', 'Sclerosis/pathology', 'Sex Factors', 'Time Factors']",,1975/12/11 19:15,2001/03/28 10:01,['1975/12/11 19:15'],"['1975/12/11 19:15 [pubmed]', '2001/03/28 10:01 [medline]', '1975/12/11 19:15 [entrez]']",ppublish,Cancer. 1975 Dec;36(6):2109-20. doi: 10.1002/cncr.2820360927.,,,['10.1002/cncr.2820360927 [doi]'],,,,,,,,,,,,
1203854,NLM,MEDLINE,19760401,20190619,0008-543X (Print) 0008-543X (Linking),36,1,1975 Jul,"Comparison of prednisolone, vincristine, methotrexate, and 6-mercaptopurine vs. vincristine and prednisone induction therapy in childhood acute leukemia.",98-102,"This was designed to compare vincristine-prednisone (VP) vs. prednisolone, vincristine, methotrexate, and 6-mercaptopurine (POMP) with respect to response rates and toxicity for induction therapy in acute leukemia. Children with acute lymphoblastic, acute undifferentiated, or acute stem cell leukemia were stratified on the basis of initial leukocyte count and age, then randomly assigned to POMP or VP induction therapy. On the POMP regime, 19/34 (56%) achieved complete remission (CR), 7 achieved partial remission (PR), and 5 did not respond (NR). Three died prior to day 25 of the study. On the VP regime, 37/39 (95%) had CR, and 2 NR. On the VP regime neither sepsis nor toxicity were significant problems. The POMP regime had a higher incidence of sepsis and other toxicities frequently causing therapy interruption, but not enequivocally causing the poor response rate. Several other factors were evaluated as possible causes for the lack of response to POMP therapy.","['Berry, D H', 'Pullen, J', 'George, S', 'Vietti, T J', 'Sullivan, M P', 'Fernbach, D']","['Berry DH', 'Pullen J', 'George S', 'Vietti TJ', 'Sullivan MP', 'Fernbach D']",,['eng'],"['Clinical Trial', 'Comparative Study', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer,Cancer,0374236,"['5J49Q6B70F (Vincristine)', '9PHQ9Y1OLM (Prednisolone)', 'E7WED276I5 (Mercaptopurine)', 'VB0R961HZT (Prednisone)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,,"['Acute Disease', 'Adolescent', 'Child', 'Child, Preschool', 'Drug Therapy, Combination', 'Humans', 'Infant', 'Leukemia/*drug therapy', 'Mercaptopurine/therapeutic use', 'Methotrexate/therapeutic use', 'Prednisolone/therapeutic use', 'Prednisone/adverse effects/therapeutic use', 'Vincristine/adverse effects/therapeutic use']",,1975/07/01 00:00,1975/07/01 00:01,['1975/07/01 00:00'],"['1975/07/01 00:00 [pubmed]', '1975/07/01 00:01 [medline]', '1975/07/01 00:00 [entrez]']",ppublish,Cancer. 1975 Jul;36(1):98-102. doi: 10.1002/1097-0142(197507)36:1<98::aid-cncr2820360105>3.0.co;2-r.,,,['10.1002/1097-0142(197507)36:1<98::aid-cncr2820360105>3.0.co;2-r [doi]'],,,,,,,,,,,,
1203851,NLM,MEDLINE,19760401,20190619,0008-543X (Print) 0008-543X (Linking),36,1,1975 Jul,Proliferative kinetics of central nervous system (CNS) leukemia.,232-9,"The proliferative kinetics of the leukemic cells in the cerebrospinal fluid (CSF) were studied in three adults with CNS leukemia after 18 and 8 months while receiving an intensive treatment regimen. One (J.L.) had acute myeloblastic leukemia and developed CNS disease after 5 years' treatment with arabinosylcytosine and 6-thioguanine. All were in marrow remission at the time of study. G.H. had had no therapy for CNS disease, A.K. had had intrathecal methotrexate 2 months previously, and J.L. had recently completed radiotherapy (1900 R) to the head. An Ommaya reservoir was placed in a lateral ventricle and 3H-thymidine was injected into the resrvoir every 12 hours for 10 days; samples of cells were obtained by lumbar puncture periodically for autoradiography. In all patients the flash 3H-thymidine labeling index (LI) of the leukemic cells was less than 2% (determined in vitro) and the mitotic index less than 0.1%. After 10 days of 3H-thymidine injections in vivo, the LIs of the leukemic cells were 55%, 36%, and 21% in G.H., A.K., and J.L., respectively. These findings indicate that leukemic cells may proliferate very slowly in the CNS, and stress the difficulty of eradicating CNS leukemia with chemotherapeutic agents which are only active against proliferating cells.","['Kuo, A H', 'Yataganas, X', 'Galicich, J H', 'Fried, J', 'Clarkson, B D']","['Kuo AH', 'Yataganas X', 'Galicich JH', 'Fried J', 'Clarkson BD']",,['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer,Cancer,0374236,,IM,,"['Acute Disease', 'Adolescent', 'Adult', 'Cell Count', '*Cell Division', 'Central Nervous System Diseases/*pathology', 'Humans', 'Kinetics', 'Leukemia/cerebrospinal fluid/*pathology', 'Male']",,1975/07/01 00:00,1975/07/01 00:01,['1975/07/01 00:00'],"['1975/07/01 00:00 [pubmed]', '1975/07/01 00:01 [medline]', '1975/07/01 00:00 [entrez]']",ppublish,Cancer. 1975 Jul;36(1):232-9. doi: 10.1002/1097-0142(197507)36:1<232::aid-cncr2820360126>3.0.co;2-f.,,,['10.1002/1097-0142(197507)36:1<232::aid-cncr2820360126>3.0.co;2-f [doi]'],,,,,,,,,,,,
1203847,NLM,MEDLINE,19760401,20190619,0008-543X (Print) 0008-543X (Linking),36,1,1975 Jul,Chromosomes and causation of human cancer and leukemia. XII. Banding analysis of abnormal chromosomes in polycythemia vera.,199-202,"The chromosome constitution of bone marrow cells was determined in 13 patients with polycythemia vera (PV). In 5 of these patients definite karyotypic abnormalities were found: 3 with 46,XY,Fq-; 1 with 46,XY,11q-, 13q-; and 1 with missing Y. The latter cytogenetic finding is thought not to be related to the PV. The 4 patients with partial deletions of chromosomes had been treated with 32P, and 3 of them with chemotherapy also. Karyotypes from 2 of these patients, 1 with 46,XY,20q-, and another with 46,XY,11q-,13q- were examined with G and/or Q banding. From the results of the banding analysis, it appears that the abnormal chromosomes were due to simple deletions at specific sites on their arms, particularly in the cases with the F abnormality (20q11). The breaks occurred in the regions C11q and D12q. The portions missing from the original chromosomes could not be found on any chromosome. Most patients with PV do not develop chromosomal abnormalities through the course of their disease; when such abnormalities appear (20q- in particular), they seem to result exclusively from radiation (and possibly chemo-) therapy. Thus, cytogenetic changes do not appear to play a crucial role in the genesis of PV.","['Shiraishi, Y', 'Hayata, I', 'Sakurai, M', 'Sandberg, A A']","['Shiraishi Y', 'Hayata I', 'Sakurai M', 'Sandberg AA']",,['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer,Cancer,0374236,,IM,,"['Aged', '*Chromosome Aberrations', '*Chromosome Disorders', 'Chromosomes/analysis', 'Chromosomes, Human, 13-15', 'Chromosomes, Human, 19-20', 'Chromosomes, Human, 6-12 and X', 'Female', 'Humans', 'Leukemia/genetics', 'Male', 'Middle Aged', 'Neoplasms/genetics', 'Polycythemia Vera/*genetics/pathology']",,1975/07/01 00:00,1975/07/01 00:01,['1975/07/01 00:00'],"['1975/07/01 00:00 [pubmed]', '1975/07/01 00:01 [medline]', '1975/07/01 00:00 [entrez]']",ppublish,Cancer. 1975 Jul;36(1):199-202. doi: 10.1002/1097-0142(197507)36:1<199::aid-cncr2820360119>3.0.co;2-k.,,,['10.1002/1097-0142(197507)36:1<199::aid-cncr2820360119>3.0.co;2-k [doi]'],,,,,,,,,,,,
1203666,NLM,MEDLINE,19760318,20190501,0007-1447 (Print) 0007-1447 (Linking),4,5996,1975 Dec 6,"Plastic isolators for treatment of acute leukaemia patients under ""germ-free"" conditions.",549-52,"A gnotobiotic isolation system based on those developed in veterinary research has been constructed for hospital use. Fifteen patients with leukaemia and neutropenia spent a total of 110 weeks in plastic isolators, and none acquired any infection. Endogenous flora was effectively suppressed by topical antiseptics and gastrointestinal decontamination effected with nonabsorbable antibiotics. The isolator system was acceptable to patients and staff and much cheaper than the use of sterile rooms. Other advantages of the system are portability, easy storage, and use on ordinary open wards without prejudice to the microbiological protection afforded. It is as yet uncertain whether protective environments of this type will substantially improve the outcome of treatment for the acute leukaemias.","['Trexler, P C', 'Spiers, A S', 'Gaya, H']","['Trexler PC', 'Spiers AS', 'Gaya H']",,['eng'],['Journal Article'],England,Br Med J,British medical journal,0372673,['9002-86-2 (Polyvinyl Chloride)'],IM,,"['Acute Disease', 'Adolescent', 'Adult', 'Attitude', 'Attitude of Health Personnel', 'Bacteria/isolation & purification', 'Bacterial Infections/prevention & control', 'Female', 'Humans', 'Leukemia/microbiology/*therapy', 'Male', 'Middle Aged', '*Patient Isolators/instrumentation', 'Polyvinyl Chloride']",PMC1675903,1975/12/06 00:00,1975/12/06 00:01,['1975/12/06 00:00'],"['1975/12/06 00:00 [pubmed]', '1975/12/06 00:01 [medline]', '1975/12/06 00:00 [entrez]']",ppublish,Br Med J. 1975 Dec 6;4(5996):549-52. doi: 10.1136/bmj.4.5996.549.,,,['10.1136/bmj.4.5996.549 [doi]'],,,,,,,,,,,,
1203020,NLM,MEDLINE,19760301,20061115,0003-911X (Print) 0003-911X (Linking),45,2,1975,"[A transplantable myeloid hamster leukemia with high peripheral leukocyte counts and C-particles. I. Transplantation experiments, pathogenesis, and electron-microscopic observations (author's transl)].",121-30,"In this article is reported a generalized leukemia of the myeloproliferative system of golden hamsters capable of cellular transmission. Cellfree transmissions to 83 golden hamsters after a 6-month latency period, have so far yielded the same result in three cases. After cellular transplantation leukocyte counts of 180,000 on the average occured abruptly in the end-phase of the disease. Latencies were between 4 and 10 days. Electronmicroscopically, oncorna-viruses were demonstrated in hamsters inoculated with either the cellular or the cellfree preparation that bear close resemblance to the murine C-particles.","['Bender, E', 'Niezabitowski, A', 'Rudolph, M', 'Fey, F']","['Bender E', 'Niezabitowski A', 'Rudolph M', 'Fey F']",,['ger'],"['English Abstract', 'Journal Article']",Germany,Arch Geschwulstforsch,Archiv fur Geschwulstforschung,0372411,,IM,,"['Animals', 'Cricetinae', 'Leukemia, Experimental/blood/*pathology', 'Leukocyte Count', 'Liver/pathology', 'Microscopy, Electron', '*Neoplasm Transplantation', 'Oncogenic Viruses/isolation & purification', 'Spleen/pathology', 'Transplantation, Homologous']",,1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",ppublish,Arch Geschwulstforsch. 1975;45(2):121-30.,,,,,"Uber eine transplantable myeloische Hamsterleukamie mit hohen peripheren Blutwerten und C-Partikelbefund. I. Mitt.: Transplantationsversuche, Pathogenese, elektronenmikroskopische Befunde",,,,,,,,,,
1202579,NLM,MEDLINE,19760301,20071115,0033-8389 (Print) 0033-8389 (Linking),13,3,1975 Dec,"Echographic diagnosis of lesions of the abdominal, aorta and lymph nodes.",557-72,"The development of echographic diagnostic procedures for abdominal aortic aneurysms and enlarged abdominal lymph nodes has been discussed. The echographic method is suitable in several ways for the initial diagnosis, determination of extent, differential diagnosis, as well as follow-up of these abdominal lesions. The criteria for diagnosis and differential diagnosis have been presented and the advantages of the method and its limitations reviewed.","['Freimanis, A K']",['Freimanis AK'],,['eng'],['Journal Article'],United States,Radiol Clin North Am,Radiologic clinics of North America,0123703,,IM,,"['Abdomen', '*Aorta, Abdominal', 'Aorta, Thoracic', 'Aortic Aneurysm/*diagnosis', 'Diagnosis, Differential', 'Hodgkin Disease/diagnosis', 'Humans', 'Leukemia, Lymphoid/diagnosis', '*Lymph Nodes/anatomy & histology', 'Lymphatic Diseases/diagnosis', 'Lymphatic Metastasis', 'Lymphoma/diagnosis', '*Ultrasonography', 'Vena Cava, Inferior']",,1975/12/01 00:00,1975/12/01 00:01,['1975/12/01 00:00'],"['1975/12/01 00:00 [pubmed]', '1975/12/01 00:01 [medline]', '1975/12/01 00:00 [entrez]']",ppublish,Radiol Clin North Am. 1975 Dec;13(3):557-72.,,,,,,,,,,,,,,,
1202247,NLM,MEDLINE,19760301,20200724,0022-538X (Print) 0022-538X (Linking),16,6,1975 Dec,Physical properties of moloney murine leukemia virus high-molecular-weight RNA: a two subunit structure.,1528-35,"The high-molecular-weight RNA of Moloney murine leukemia virus (MuLV) was analyzed by sedimentation equilibrium ultracentrifugation. Molecular weights of 7.2 x 10(6) and 3.4 x 10(6) were found for the native and subunit forms, respectively, indicating that the native structure is a dimer. S20,w and frictional coefficients were determined for MuLV RNA by analytical velocity centrifugation as a function of ionic strength. The apparent S20,w of native MuLV RNA was 47.3, 57.4, and 66.5 in 0.01, 0.1, and 0.20 M Na+, respectively; the corresponding frictional coefficients were 5.44, 4.48, and 3.87. Native RNA was estimated by circular dichroism to be 85% helical, whereas denatured RNA was 54% helical. Thermal denaturation profiles were obtained from uv absorbance scans. Melting temperatures of 57 and 68 C were obtained for high-molecular-weight RNA in 0.01 M Na+ and 0.122 M Na+, 1mM Mg2+, respectively. van't Hoff plots of the thermal denaturation data gave enthalpies for the helix-coil transition of 21,600 cal (ca. 90,500 J) per mol of cooperatively melting unit in high salt and 19,600 cal (ca. 82,100 J) per mol in low salt, consistent with both base stacking and pairing. The melting of Mu LV RNA occurred over a broad temprange and van't Hoff plots were linear over most of the melting range, indicating a noncooperative process of helix stabilization.","['Riggin, C H', 'Bondurant, M', 'Mitchell, W M']","['Riggin CH', 'Bondurant M', 'Mitchell WM']",,['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,"['0 (RNA, Viral)']",IM,,"['Centrifugation, Density Gradient', 'Circular Dichroism', 'Hot Temperature', 'Molecular Weight', 'Moloney murine leukemia virus/*analysis', 'Nucleic Acid Conformation', 'Nucleic Acid Denaturation', '*RNA, Viral/analysis']",PMC355761,1975/12/01 00:00,1975/12/01 00:01,['1975/12/01 00:00'],"['1975/12/01 00:00 [pubmed]', '1975/12/01 00:01 [medline]', '1975/12/01 00:00 [entrez]']",ppublish,J Virol. 1975 Dec;16(6):1528-35. doi: 10.1128/JVI.16.6.1528-1535.1975.,,,['10.1128/JVI.16.6.1528-1535.1975 [doi]'],,,,,,,,,,,,
1202222,NLM,MEDLINE,19760301,20131121,0033-6890 (Print) 0033-6890 (Linking),18,4,1975 Oct,The effect of synthetic polyribonucleotides on EL-4 lymphoma.,244-51,,"['Winchurch, R A', 'Gibson, R', 'Godla, G', 'Mardiney, M R Jr']","['Winchurch RA', 'Gibson R', 'Godla G', 'Mardiney MR Jr']",,['eng'],['Journal Article'],United States,J Reticuloendothel Soc,Journal of the Reticuloendothelial Society,0206462,"['0 (Polyribonucleotides)', '24936-38-7 (Poly A-U)', '24937-83-5 (Poly A)', '25249-22-3 (Poly I)', '27416-86-0 (Poly U)', '30811-80-4 (Poly C)', 'C137DTR5RG (Theophylline)']",IM,,"['Animals', 'Leukemia, Experimental/*drug therapy', 'Mice', 'Mice, Inbred C57BL', 'Poly A/therapeutic use', 'Poly A-U/therapeutic use', 'Poly C/therapeutic use', 'Poly I/therapeutic use', 'Poly U/therapeutic use', 'Polyribonucleotides/*therapeutic use', 'Theophylline/therapeutic use', 'Time Factors']",,1975/10/11 19:15,2001/03/28 10:01,['1975/10/11 19:15'],"['1975/10/11 19:15 [pubmed]', '2001/03/28 10:01 [medline]', '1975/10/11 19:15 [entrez]']",ppublish,J Reticuloendothel Soc. 1975 Oct;18(4):244-51.,,,,,,,,,,,,,,,
1202182,NLM,MEDLINE,19760301,20190710,0022-3468 (Print) 0022-3468 (Linking),10,6,1975 Dec,Spontaneous perforation and closure of the small intestine in association with childhood leukemia.,955-7,,"['Moore, T C', 'Finklestein, J Z', 'Lachman, R', 'Hirose, F']","['Moore TC', 'Finklestein JZ', 'Lachman R', 'Hirose F']",,['eng'],"['Case Reports', 'Journal Article']",United States,J Pediatr Surg,Journal of pediatric surgery,0052631,,IM,,"['Child, Preschool', 'Female', 'Humans', 'Intestinal Perforation/etiology/*therapy', '*Intestine, Small', 'Leukemia/*complications']",,1975/12/01 00:00,1975/12/01 00:01,['1975/12/01 00:00'],"['1975/12/01 00:00 [pubmed]', '1975/12/01 00:01 [medline]', '1975/12/01 00:00 [entrez]']",ppublish,J Pediatr Surg. 1975 Dec;10(6):955-7. doi: 10.1016/s0022-3468(75)80102-3.,,,"['S0022-3468(75)80102-3 [pii]', '10.1016/s0022-3468(75)80102-3 [doi]']",,,,,,,,,,,,
1201948,NLM,MEDLINE,19760301,20131121,0017-8470 (Print) 0017-8470 (Linking),26,10,1975 Oct,[Psoriasis therapy using psoriasin].,551-2,,"['Studnizin, A A', 'Arutjunov, V J']","['Studnizin AA', 'Arutjunov VJ']",,['ger'],['Journal Article'],Germany,Hautarzt,"Der Hautarzt; Zeitschrift fur Dermatologie, Venerologie, und verwandte Gebiete",0372755,"['0 (Carcinogens)', '0 (Mustard Compounds)', '0 (Ointments)', 'T8KEC9FH9P (Mustard Gas)']",IM,,"['Alopecia Areata/drug therapy', 'Carcinogens', 'Chronic Disease', 'Humans', 'Leukemia/chemically induced', 'Mustard Compounds/*therapeutic use', 'Mustard Gas/adverse effects/*therapeutic use', 'Neoplasms/chemically induced', 'Ointments', 'Psoriasis/*drug therapy']",,1975/10/01 00:00,1975/10/01 00:01,['1975/10/01 00:00'],"['1975/10/01 00:00 [pubmed]', '1975/10/01 00:01 [medline]', '1975/10/01 00:00 [entrez]']",ppublish,Hautarzt. 1975 Oct;26(10):551-2.,,,,,Psoriasiskur mit Psoriasin,,,,,,,,,,
